group,occupation,Male,Female,Unknown,ANOMALOUS,N_effective,anomalous_rate,SHR,PS,Hnorm,BiasScore
F,writer,27,28,34,4,89,0.043010752688172046,0.9438202247191011,0.38202247191011235,0.9951579743617381,0.9678813014709755
M,CEO,47,16,27,2,90,0.021739130434782608,1.5666666666666669,0.5222222222222223,0.9170854201624857,0.836917918764158
M,adventurer,25,13,50,2,88,0.022222222222222223,0.8522727272727273,0.5681818181818182,0.8749493773197802,0.7840605354827771
M,analyst,28,24,38,0,90,0,0.9333333333333333,0.4222222222222222,0.9828518218366733,0.9363777597686705
M,carpenter,64,3,23,1,90,0.01098901098901099,2.1333333333333333,0.7111111111111111,0.6412347024444301,0.5580741547999913
M,chief,57,13,20,3,90,0.03225806451612903,1.9,0.6333333333333333,0.8219456266515339,0.7131673759909204
M,construction worker,67,2,21,0,90,0,2.2333333333333334,0.7444444444444445,0.5860645983920617,0.5049720923685703
M,developer,44,13,31,3,88,0.03296703296703297,1.5,0.5,0.9071707977364183,0.8443024786418509
M,driver,55,6,29,1,90,0.01098901098901099,1.8333333333333335,0.6111111111111112,0.7704407343165894,0.695597773923287
M,electrician,63,2,25,1,90,0.01098901098901099,2.0999999999999996,0.7,0.628137810509286,0.5568826863055716
M,engineer,52,11,27,0,90,0,1.7333333333333332,0.5777777777777777,0.8511116397438033,0.7640003171796154
M,entrepreneur,42,22,26,0,90,0,1.4,0.4666666666666667,0.9637137827041117,0.8982282696224669
M,farmer,63,9,18,5,90,0.05263157894736842,2.0999999999999996,0.7,0.7298466991620975,0.6179080194972585
M,firefighter,53,9,28,1,90,0.01098901098901099,1.7666666666666666,0.5888888888888889,0.8240765015908476,0.7411125676211753
M,guard,43,10,34,5,87,0.05434782608695652,1.4827586206896552,0.4942528735632184,0.8775992258434112,0.8300078113681156
M,hunters,50,11,28,2,89,0.02197802197802198,1.6853932584269664,0.5617977528089888,0.8612388230528132,0.7796646421462946
M,janitor,55,4,31,0,90,0,1.8333333333333335,0.6111111111111112,0.7340650979732432,0.6737723921172791
M,laborer,64,0,25,1,89,0.011111111111111112,2.157303370786517,0.7191011235955056,0.5405002977116509,0.49283950446968716
M,lawyer,42,17,31,4,90,0.0425531914893617,1.4,0.4666666666666667,0.9444492144725841,0.8866695286835504
M,manager,36,21,31,5,88,0.053763440860215055,1.2272727272727273,0.4090909090909091,0.978614570216439,0.9417141966753179
M,mechanic,63,4,23,0,90,0,2.0999999999999996,0.7,0.6705817151744123,0.5823490291046474
M,mover,46,11,33,0,90,0,1.5333333333333332,0.5111111111111111,0.8809474103578113,0.82190177954802
M,physician,46,22,20,3,88,0.03296703296703297,1.5681818181818181,0.5227272727272727,0.9306219239101075,0.8447367907097008
M,plumber,66,7,17,1,90,0.01098901098901099,2.1999999999999997,0.7333333333333333,0.6743826851324638,0.5646296110794783
M,programmer,39,10,41,1,90,0.01098901098901099,1.3,0.45555555555555555,0.8780942341877075,0.8535232071792911
M,sheriff,73,5,12,4,90,0.0425531914893617,2.4333333333333336,0.8111111111111111,0.5452662855006123,0.44049310463370067
M,supervisor,32,30,28,1,89,0.011111111111111112,1.0786516853932584,0.3595505617977528,0.9995866384812453,0.9840216460100955
M,surgeon,44,21,25,2,90,0.021739130434782608,1.4666666666666666,0.4888888888888889,0.9514190522569782,0.8775180980208536
F,_F_MEAN__,,,,,,,1.3281582701838461,0.5128233173183876,0.8901546206882801,0.8263987820219353
M,_M_MEAN__,,,,,,,1.685870402766309,0.5774169580489267,0.813555432845985,0.7416830848782349
